Development_Name,HUD_Number,Tenant_Data_System,Consolidated_TDS_Number,Electronic_Data_Processing,Operating_EDP_Number,HUD_Number_2,Funding_Source,Conventional_Method,Building_Type,Number_of_Section_8_Transition_Apartments,Number_of_Current_Apartments,Total_Number_of_Apartments,Number_of_Rental_Rooms,Average_Number_of_Rental_Rooms,Population_Section_8_Transition,Total_Population,Number_of_Residential_Buildings,Number_of_Non_Residential_Buildings,Number_of_Stairhalls,Number_of_Stories,Total_Area_Square_Ft,Acres,Net_Area_Square_Ft,Excluding_Park_Acres,Building_Coverage_Square_Ft,Cubic_Space,Percentage_of_Building_Coverage,Density,Development_Cost,Per_Rental_Room,Average_Monthly_Gross_Rent,Address_Line1,Address_Line2,Address_Line3,Address_Line4,Borough,Community_District,US_Congressional_District,NY_State_Senate_District,NY_State_Assembly_District,NY_City_Council_District,Completion_Date,Federalized_Development,Senior_Development,Is_Electricity_Paid_by_Residents,Is_Private_Management
CYPRESS HILLS,NY005010700,70,70,536,536,NY005220G,FEDERAL,CONVENTIONAL,New Construction,,1441,1444,6598.5,4.58,,3401,15,,30,7,1264130,29.02,1264130,29.02,223364,12338237,17.67,117.2,14773000,2247,457.9,SUTTER AVE,EUCLID AVE,LINDEN BLVD,FOUNTAIN AVE,BROOKLYN,5,8,"18, 19",60,42,1955-05-25,1978/07/01-ATP 3,,,
DAVIDSON,NY005013420,190,342,301,301,NY005096A,FEDERAL,CONVENTIONAL,New Construction,,175,175,841.5,4.81,,484,1,,2,8,82967,1.9,82967,1.9,24796,1647000,29.89,254.74,8704709,10259,475.16,PROSPECT AVE,HOME ST,167TH ST,UNION AVE,BRONX,3,15,32,79,17,1973-08-31,,PARTIALLY,,
DE HOSTOS APARTMENTS,NY005011270,155,127,265,259,NY005066,FEDERAL,CONVENTIONAL,New Construction,,219,223,953.5,4.35,,463,1,,1,22,32690,0.75,32690,0.75,10319,1794597,31.57,617.33,4044899,4130,520.72,AMSTERDAM AVE,W 93RD ST,BROADWAY,W 94TH ST,MANHATTAN,7,10,30,69,6,1969-03-28,,,,
DOUGLASS ADDITION,NY005010820,148,82,569,569,NY005244B,FEDERAL,CONVENTIONAL,New Construction,,135,135,667.5,4.94,,325,1,,1,16,23957,0.55,23957,0.55,8884,1289500,37.08,590.91,3783000,5667,570.29,W 102ND ST,W 103RD ST,AMSTERDAM AVE,,MANHATTAN,7,10,30,69,7,1965-06-30,1979/08/01-ATP 4,,,
DOUGLASS,,"082, 582",82,569,569,NY005244B,FEDERAL,CONVENTIONAL,New Construction,,2056,2058,9276,4.51,,4252,17,,17,5-9-12-17-18-20,947991,21.76,863250,19.82,138552,17567741,14.62,195.4,37441000,4062,516.61,W 104TH ST,MANHATTAN AVE,W 100TH ST,AMSTERDAM AVE,MANHATTAN,7,13,30,69,7,1958-09-25,1979/08/01-ATP 4,,,
DOUGLASS I,NY005010820,82,82,569,569,NY005244B,FEDERAL,CONVENTIONAL,New Construction,,1303,1305,5809.5,4.46,,2665,11,,11,5-9-12-17-20,533018,12.24,533018,12.24,94508,10999163,17.73,217.73,22701754,3933,502.71,W 104TH ST,MANHATTAN AVE,W 100TH ST,COLUMBUS AVE,MANHATTAN,7,13,30,69,7,1958-09-25,1979/08/01-ATP 4,,,
DOUGLASS II,NY005010820,582,82,569,569,NY005244B,FEDERAL,CONVENTIONAL,New Construction,,753,753,3466.5,4.6,,1587,6,,6,9-12-17-18-20,414973,9.53,330232,7.58,44044,6568578,10.61,166.53,14739246,4277,540.74,W 104TH ST,COLUMBUS AVE,W 100TH ST,AMSTERDAM AVE,MANHATTAN,7,13,30,69,7,1958-09-25,1979/08/01-ATP 4,,,
DREW-HAMILTON,NY005021110,111,111,434,434,NY005373,MIXED FINANCE/LLC1,CONVENTIONAL,New Construction,241,1211,1217,5344.5,4.41,596,2881,5,,5,21,312188,7.17,292159,6.71,74433,9889060,23.84,401.81,25146000,4687,459.17,W 141ST ST,W 144TH ST,POWELL BLVD,DOUGLASS BLVD,MANHATTAN,10,13,30,70,9,1965-09-30,,,,
DYCKMAN,NY005000410,41,41,373,373,NY005183A,FEDERAL,CONVENTIONAL,New Construction,,1167,1167,5054.5,4.33,,2319,7,1,8,14,613884,14.09,570318,13.09,80457,9780114,13.11,164.58,14202915,2812,503.84,DYCKMAN ST,NAGLE AVE,W 204TH ST,TENTH AVE,MANHATTAN,12,13,31,72,10,1951-04-25,1972/06/29-FED TRAN,,,
EAGLE AVENUE-EAST 163RD STREET,NY005000590,224,59,343,236,NY005165,FEDERAL,TURNKEY,New Construction,,66,66,279,4.23,,131,1,,1,6,28125,0.65,28125,0.65,9828,598000,34.94,201.54,1710901,6078,457.02,EAGLE AVE,E 163RD ST,THIRD AVE,E 161ST ST,BRONX,3,15,32,79,17,1971-05-31,,,,
EAST 152ND STREET-COURTLANDT AVENUE,NY005010280,237,28,360,360,NY005154,FEDERAL,TURNKEY,New Construction,,221,221,913.5,4.13,,383,2,,2,11-14,63175,1.45,63175,1.45,21301,1801668,33.72,264.14,7717944,8330,369.78,E 151ST ST,E 153RD ST,COURTLANDT AVE,MELROSE AVE,BRONX,1,15,32,84,17,1973-08-31,,PARTIALLY,,
EAST 165TH STREET-BRYANT AVENUE,NY005015300,304,530,552,748,NY005226,FEDERAL,TURNKEY,New Construction,,111,111,588.5,5.3,,370,5,,19,3,137566,3.16,137566,3.16,41134,1286795,29.9,117.09,8178643,13874,616.56,WESTCHESTER AVE,LONGFELLOW AVE,ALDUS ST,HOE AVE,BRONX,2,15,32,85,17,1987-10-31,,,True,True
EAST 173RD STREET-VYSE AVENUE,NY005015300,338,530,778,748,NY005252,FEDERAL,TURNKEY,New Construction,,168,168,758,4.51,,423,7,,28,3,196060,4.5,196060,4.5,59524,1547624,28.46,94,12629936,16684,492.75,SOUTHERN BLVD,E 173RD ST,VYSE AVE,JENNINGS ST,BRONX,3,15,32,79,17,1987-10-31,,,True,True
EAST 180TH STREET-MONTEREY AVENUE,NY005012270,208,227,323,363,NY005124,FEDERAL,CONVENTIONAL,New Construction,,239,239,1052.5,4.4,,545,1,1,3,10,78743,1.81,78743,1.81,30800,2072776,39.11,301.1,8727000,8221,491.59,E 180TH ST,E 181ST ST,LAFONTAINE AVE,QUARRY RD,BRONX,6,15,33,86,15,1973-09-30,,,,
EAST NEW YORK CITY LINE,NY005010700,263,70,378,378,NY005171,FEDERAL,TURNKEY,New Construction,,66,66,409,6.2,,275,33,,33,3,84400,1.94,84400,1.94,26943,719300,31.92,141.75,2774644,6784,534.14,FOUNTAIN AVE,HEGEMAN AVE,LOGAN ST,,BROOKLYN,5,8,19,60,42,1976-03-31,,,,
EAST RIVER,NY005010090,9,9,207,207,NY005005,FEDERAL,CONVENTIONAL,New Construction,,1156,1170,4848,4.19,,2412,10,1,30,6-10,512822,11.77,466607,10.71,112140,7963515,21.87,204.93,5304700,1086,457.54,FIRST AVE,FDR DRIVE,E 102ND ST,E 105TH ST,MANHATTAN,11,13,30,68,8,1941-05-20,,,,
EASTCHESTER GARDENS,NY005010340,34,34,313,313,NY005114A,FEDERAL,CONVENTIONAL,New Construction,,876,877,4244,4.84,,2071,10,,15,7-8,653856,15.01,607396,13.94,115918,7891470,17.73,137.97,9514000,2244,517.58,BURKE AVE,BOUCK AVE,ADEE AVE,YATES AVE,BRONX,11,16,36,83,12,1950-06-01,1968/08/29-FED TRAN,,,
EDENWALD,NY005000570,57,57,214,214,NY005019,FEDERAL,CONVENTIONAL,New Construction,,2035,2039,9675.5,4.75,,5031,40,2,71,"3,14",2129275,48.88,2023005,46.44,344433,17847449,16.18,102.93,22862156,2359,523.8,GRENADA PL,BAYCHESTER AVE,E 225TH ST,LACONIA AVE,BRONX,12,16,36,83,12,1953-10-30,,,,
ELLIOTT,NY005011340,15,134,367,367,NY005181C,FEDERAL,CONVENTIONAL,New Construction,,607,608,2846.5,4.69,,1412,4,,8,9-12,204530,4.7,204530,4.7,45023,4301454,22.01,300.43,5042342,1808,542.4,W 25TH ST,CHELSEA PARK,NINTH AVE,TENTH AVE,MANHATTAN,4,10,"27, 31",75,3,1947-07-15,1972/06/29-FED TRAN,,,
FARRAGUT,NY005000290,29,29,532,532,NY005220C,FEDERAL,CONVENTIONAL,New Construction,,1389,1390,6515.5,4.69,,3277,10,,10,14,723570,16.61,723570,16.61,100746,11639930,13.92,197.29,15187000,2324,484.87,YORK ST,NASSAU ST,NAVY ST,BRIDGE ST,BROOKLYN,2,8,25,57,35,1952-05-07,1978/07/01-ATP 3,,,
FENIMORE-LEFFERTS,NY005011670,205,167,322,283,NY005129,FEDERAL,TURNKEY,New Construction,,36,36,180,5,,104,18,,18,2,33705,0.77,33705,0.77,20339,564300,60.34,135.06,633673,3520,658.78,FENIMORE ST,TROY AVE,LEFFERTS AVE,NOSTRAND AVE,BROOKLYN,9,9,20,43,"40, 41",1969-09-30,,,True,
FHA REPOSSESSED HOUSES (GROUP I),NY005012090,209,91,324,324,NY005140,FEDERAL,CONVENTIONAL,Rehabilitation,,24,40,125,5.21,,37,37,,,1-2,109109,2.5,109109,2.5,,,,14.8,864012,6912,723.86,36 QUEENS,1 BROOKLYN,,,,,,,,,1969-10-31,,,True,
FHA REPOSSESSED HOUSES (GROUP II),NY005012090,212,91,327,324,NY005155,FEDERAL,CONVENTIONAL,Rehabilitation,,11,27,59.5,5.41,,29,25,,,3,71102,1.63,71102,1.63,,,,17.79,638109,10725,859,24 QUEENS,1 BRONX,,,,,,,,,1970-09-30,,,True,
FHA REPOSSESSED HOUSES (GROUP III),NY005012090,213,91,340,324,NY005158,FEDERAL,CONVENTIONAL,Rehabilitation,,13,19,70.5,5.42,,28,18,,,1-2,48377,1.11,48377,1.11,,,,25.23,400255,5677,936.15,16 QUEENS,1 BRONX,1 BROOKLYN,,,,,,,,1971-04-30,,,True,
FHA REPOSSESSED HOUSES (GROUP V),NY005012090,260,91,397,324,NY005182,FEDERAL,CONVENTIONAL,Rehabilitation,,36,51,192,5.33,,81,46,,,1-2,140965,3.24,140965,3.24,,,,25,1241649,5899,726.79,43 QUEENS,3 BROOKLYN,,,,,,,,,1972-09-30,,,True,
FHA REPOSSESSED HOUSES (GROUP VI),NY005012090,273,91,395,324,NY005199,FEDERAL,CONVENTIONAL,Rehabilitation,,8,16,42,5.25,,14,14,,,1-1.5-2-2.5,46406,1.07,46406,1.07,,,,13.08,369711,8803,1033.75,14 QUEENS,,,,,,,,,,1976-07-31,,,True,
FHA REPOSSESSED HOUSES (GROUP VII),NY005012090,274,91,396,324,NY005197,FEDERAL,CONVENTIONAL,Rehabilitation,,7,14,40.5,5.79,,13,14,,,1-1.5-2-2.5,41138,0.94,41138,0.94,,,,13.83,453780,7824,947.14,14 QUEENS,,,,,,,,,,1976-07-31,,,True,
FHA REPOSSESSED HOUSES (GROUP VIII),NY005012090,275,91,520,324,NY005198,FEDERAL,CONVENTIONAL,Rehabilitation,,8,13,46,5.75,,21,13,,,1-1.5-2-2.5,34842,0.8,34842,0.8,,,,26.25,323522,7033,824.86,13 QUEENS,,,,,,,,,,1976-07-31,,,True,
FHA REPOSSESSED HOUSES (GROUP IX),NY005012090,283,91,376,324,NY005206,FEDERAL,CONVENTIONAL,Rehabilitation,,20,44,97,4.85,,41,20,,,1-1.5-2-2.5-3,50476,1.16,50476,1.16,,,,35.34,961472,9473,794.85,6 QUEENS,14 BROOKLYN,,,,,,,,,1983-01-31,,,True,
FHA REPOSSESSED HOUSES (GROUP X),NY005012090,284,91,521,324,NY005212,FEDERAL,CONVENTIONAL,Rehabilitation,,23,36,123.5,5.37,,53,35,,,1-1.5-2-2.5,99627,2.29,99627,2.29,,,,23.14,2059079,14152,806.22,35 QUEENS,,,,,,,,,,1983-01-31,,,True,
FIORENTINO PLAZA,NY005012610,207,261,375,375,NY005188,FEDERAL,CONVENTIONAL,New Construction,,158,160,787,4.98,,472,8,,10,4,95000,2.18,95000,2.18,42189,1916306,44.41,216.51,6138432,7712,480.97,GLENMORE AVE,VAN SICLEN AVE,PITKIN AVE,WYONA ST,BROOKLYN,5,8,19,55,37,1971-10-31,,,,
FIRST HOUSES,NY005012920,1,292,370,370,NY005181A,FEDERAL,CONVENTIONAL,New Construction,,126,126,448,3.56,,197,8,,8,4-5,53532,1.23,53532,1.23,24540,1411795,45.84,160.16,1384643,3653,401.64,E 2ND ST,E 3RD ST,AVENUE A,FIRST AVE,MANHATTAN,3,12,26,74,2,1936-05-31,1972/06/29-FED TRAN,,True,
FOREST,NY005000590,59,59,535,535,NY005220F,FEDERAL,CONVENTIONAL,New Construction,,1348,1350,6154,4.57,,3144,15,,15,9-10,771920,17.72,700087,16.07,125002,11465400,16.19,177.43,19576000,3186,456.07,TINTON AVE,E 163RD ST,TRINITY AVE,E 166TH ST,BRONX,3,15,32,79,16,1956-11-12,1978/07/01-ATP 3,,,
FOREST HILLS COOP (108TH STREET-62ND DRIVE),NY005002000,200,200,309,309,NY005108,FEDERAL,CONVENTIONAL,New Construction,,430,430,1794,4.17,,799,3,1,5,12,359923,8.26,359923,8.26,53683,3673511,14.92,96.73,29177120,16107,569.76,108TH ST,62ND DR,COLONIAL AVE,HORACE HARDING EXP,QUEENS,6,6,16,27,29,1975-11-30,,,,True
FORT INDEPENDENCE STREET-HEATH AVENUE,NY005012020,197,202,308,311,NY005110,FEDERAL,TURNKEY,New Construction,,342,344,1509,4.41,,749,1,,2,21,149152,3.42,149152,3.42,25162,3321343,16.87,219.01,10566070,6933,471.33,FT INDEPENDENCE ST,HEATH AVE,BAILEY AVE,SUMMIT PL,BRONX,8,13,33,81,14,1974-11-30,,,,
FORT WASHINGTON AVENUE REHAB,NY005013090,309,309,341,341,NY005266,FEDERAL,TURNKEY,Rehabilitation (ELD),,226,226,814,3.6,,274,1,,2,7,112034,2.57,112034,2.57,43735,3690779,39.04,106.61,16237236,19862,300.5,RIVERSIDE DR,W 163RD ST,FT WASHINGTON AVE,W 165TH ST,MANHATTAN,12,13,31,71,7,1985-10-01,,EXCLUSIVELY,True,
FRANKLIN AVENUE I CONVENTIONAL,NY005015310,525,531,479,482,NY005314,FEDERAL,CONVENTIONAL,Rehabilitation,,60,61,264,4.4,,130,3,,3,5,28251,0.65,28251,0.65,10811,649812,38.27,200,5015464,17629,491,E 169TH ST,FRANKLIN AVE,E 170TH ST,,BRONX,3,15,33,79,16,1994-08-31,,,True,True
FRANKLIN AVENUE II CONVENTIONAL,NY005015310,531,531,482,482,NY005346,FEDERAL,CONVENTIONAL,Rehabilitation,,45,45,196.5,4.37,,92,3,,3,5,19319,0.44,19319,0.44,8080,508109,41.82,209.09,3401250,17309,386,E 169TH ST,FRANKLIN AVE,E 170TH ST,,BRONX,3,15,33,79,16,1994-08-31,,,True,True
FRANKLIN AVENUE III CONVENTIONAL,NY005015310,524,531,480,482,NY005348,FEDERAL,CONVENTIONAL,Rehabilitation,,15,15,65.5,4.37,,36,1,,1,5,4200,0.1,4200,0.1,2803,150400,66.74,360,1189930,18167,450,FRANKLIN AVE,E 170TH ST,CLINTON AVE,JEFFERSON PL,BRONX,3,15,33,79,16,1994-08-31,,,True,True
FULTON,NY005001360,136,136,252,252,NY005053,FEDERAL,CONVENTIONAL,New Construction,,944,944,4223,4.47,,2172,11,1,12,6-25,272989,6.27,272989,6.27,70645,8097991,25.88,346.41,20727847,4866,599.23,W 16TH ST,W 19TH ST,NINTH AVE,,MANHATTAN,4,10,27,75,3,1965-03-31,,,,
GARVEY (GROUP A),NY005012520,252,252,381,381,NY005166,FEDERAL,CONVENTIONAL,New Construction,,320,321,1525,4.77,,804,3,1,6,"2, 6-14",142730,3.28,142730,3.28,40745,3257257,28.55,245.12,12599489,8168,481.69,EAST NEW YORK AVE,AMBOY ST,PITKIN AVE,,BROOKLYN,16,9,20,55,41,1975-02-28,,PARTIALLY,,
GLEBE AVENUE-WESTCHESTER AVENUE,NY005010670,225,67,342,222,NY005147,FEDERAL,TURNKEY,New Construction (ELD),,131,132,434.5,3.32,,148,1,,1,6,47204,1.08,47204,1.08,18734,1123122,39.69,137.04,3356367,7467,324.89,GLEBE AVE,WESTCHESTER AVE,CASTLE HILL AVE,LYON AVE,BRONX,10,14,34,87,18,1971-12-31,,EXCLUSIVELY,,
GLENMORE PLAZA,NY005011690,171,169,581,581,NY005267C,FEDERAL,CONVENTIONAL,New Construction,,440,440,1704,3.87,,841,4,,4,10-18,186180,4.27,186180,4.27,24838,4024811,13.34,196.96,10600000,6221,457.32,PITKIN AVE,GLENMORE AVE,WATKINS ST,POWELL ST,BROOKLYN,16,8,19,55,37,1968-04-30,1980/07/01-ATP 5,,,
GLENWOOD,NY005000440,44,44,584,584,NY005268B,FEDERAL,CONVENTIONAL,New Construction,,1187,1188,5210.5,4.39,,2582,20,,40,6,975095,22.39,915230,21.01,183856,10242805,18.86,115.32,12907133,2475,521.68,E 56TH ST,FARRAGUT RD,RALPH AVE,AVENUE H,BROOKLYN,18,8,21,59,45,1950-07-14,1980/07/01-ATP 6,,,
GOMPERS,NY005011000,100,100,237,237,NY005032,FEDERAL,CONVENTIONAL,New Construction,,473,474,2198.5,4.65,,1167,2,2,5,20,161016,3.7,161016,3.7,24555,4083496,15.25,315.41,9322807,4240,539.13,DELANCY ST,PITT ST,STANTON ST,,MANHATTAN,3,7,26,74,2,1964-04-30,,,,
GOWANUS,NY005000250,25,25,515,515,NY005213G,FEDERAL,CONVENTIONAL,New Construction,,1137,1139,5434.5,4.78,,2759,14,1,25,4-6-9-13-14,547663,12.57,502216,11.53,105659,9028680,19.29,219.49,11928000,2203,528.52,WYCKOFF ST,DOUGLASS ST,BOND ST,HOYT ST,BROOKLYN,6,7,25,52,33,1949-06-24,1977/07/01-ATP 1,,,
GRAMPION,NY005010300,281,30,507,503,NY005210,FEDERAL,CONVENTIONAL,Rehabilitation,,35,35,155.5,4.44,,74,1,,1,7,7144,0.16,7144,0.16,5000,377500,69.99,462.5,817621,5094,427.47,W 119TH ST,SAINT NICHOLAS AVE,,,MANHATTAN,10,13,30,70,9,1977-05-17,,,True,
GRANT,NY005000870,87,87,232,232,NY005030,FEDERAL,CONVENTIONAL,New Construction,,1940,1940,9138,4.71,,4477,9,1,10,13-21,655681,15.05,655681,15.05,101477,16701596,15.48,297.48,28783425,3150,503.17,W 125TH ST,MORNINGSIDE AVE,W 123RD ST,BROADWAY,MANHATTAN,9,13,30,69,7,1957-10-31,,,,
GRAVESEND,NY005011720,68,172,225,225,NY005025,FEDERAL,CONVENTIONAL,New Construction,,634,634,2951,4.65,,1533,15,,15,7,540725,12.41,540725,12.41,92855,5356500,17.17,123.53,7927996,2687,460.48,NEPTUNE AVE,BAYVIEW AVE,W 33RD ST,,BROOKLYN,13,8,23,46,47,1954-06-28,,,,
GUN HILL,NY005010470,40,47,579,579,NY005267A,FEDERAL,CONVENTIONAL,New Construction,,732,733,3126,4.27,,1482,6,,6,14,345256,7.93,314070,7.21,54684,6221645,15.84,186.89,8709286,2784,485.63,HOLLAND AVE,WHITE PLAINS RD,GUN HILL RD,MAGENTA ST,BRONX,12,16,36,83,12,1950-11-30,1980/07/01-ATP 5,,,
HABER,NY005011660,142,166,589,589,NY005271D,FEDERAL,CONVENTIONAL,New Construction (ELD),,380,380,1327,3.49,,447,3,,3,14,134432,3.09,134432,3.09,23903,2547605,17.78,144.66,7494000,5647,281.93,W 24TH ST,SURF AVE,REIGELMANN BRDWLK,W 25TH ST,BROOKLYN,13,8,23,46,47,1965-06-30,1980/10/01-ATP 7,EXCLUSIVELY,,
HAMMEL,NY005010750,75,75,226,226,NY005027,FEDERAL,CONVENTIONAL,New Construction,,711,712,3302.5,4.64,,1840,14,,14,7,616678,14.16,572678,13.15,107706,5991153,17.47,129.94,9618901,2909,409.66,B 86TH ST,HAMMELS BLVD,B 81ST ST,ROCKAWAY BCH BLVD,QUEENS,14,5,10,31,31,1955-04-20,,,,
HARBORVIEW TERRACE,NY005010220,262,22,377,377,NY005168,FEDERAL,TURNKEY,New Construction,,377,377,1493.5,3.96,,659,2,,2,14-15,120497,2.77,120497,2.77,22666,3139759,18.81,237.91,16721224,10911,495.84,W 54TH ST,W 56TH ST,TENTH AVE,ELEVENTH AVE,MANHATTAN,4,10,"27, 31",67,6,1977-06-30,,PARTIALLY,,
HARLEM RIVER,NY005010030,3,3,201,201,NY005042,FEDERAL,CONVENTIONAL,New Construction,,571,577,2218.5,3.89,,1013,7,,47,4-5,322075,7.39,313137,7.19,103777,5237933,32.22,137.08,4147782,2103,501.01,MACOMBS PL,HARLEM RIVER DR,W 151ST ST,W 153RD ST,MANHATTAN,10,13,30,71,9,1937-10-01,,,,
HARLEM RIVER II,NY005010030,147,3,256,201,NY005051,FEDERAL,CONVENTIONAL,New Construction,,116,116,515,4.44,,286,1,,1,15,28815,0.66,28815,0.66,7281,981227,25.27,433.33,2605601,5059,497.82,DOUGLASS BLVD,W 152ND ST,MACOMBS PL,W 151ST ST,MANHATTAN,10,13,30,71,9,1965-10-31,,,,
HARRISON AVENUE REHAB (GROUP A),NY005013410,347,341,772,762,NY005231,FEDERAL,TURNKEY,Rehabilitation,,34,34,146,4.29,,69,1,,1,5,9167,0.21,9167,0.21,6698,404958,73.07,328.57,2368803,16225,501,HARRISON AVE,W BURNSIDE AVE,GRAND AVE,KINGSLAND PL,BRONX,5,15,29,86,14,1986-09-01,,,True,True
HARRISON AVENUE REHAB (GROUP B),NY005013410,547,341,773,762,NY005287,FEDERAL,TURNKEY,Rehabilitation,,149,150,658.5,4.42,,314,4,,4,4-6,44753,1.03,44753,1.03,29954,1856310,66.93,304.85,10059298,15150,401,UNIVERSITY PL,W BURNSIDE AVE,GRAND AVE,KINGSLAND PL,BRONX,5,15,29,86,14,1986-12-01,,,True,True
HERNANDEZ,NY005011000,184,100,286,237,NY005085,FEDERAL,CONVENTIONAL,New Construction,,149,149,601.5,4.04,,269,1,,1,17,44689,1.03,44689,1.03,13167,1293680,29.46,261.17,3731491,6077,516.44,ALLEN ST,STANTON ST,ELDRIDGE ST,E HOUSTON ST,MANHATTAN,3,7,26,65,1,1971-08-31,,,,
HIGHBRIDGE GARDENS,NY005000780,78,78,229,229,NY005026,FEDERAL,CONVENTIONAL,New Construction,,700,700,3252,4.65,,1645,6,,6,13-14,496875,11.41,496875,11.41,55678,5837785,10.12,144.17,7547875,2321,488.27,SEDGWICK AVE,W 167TH ST,UNIVERSITY AVE,,BRONX,4,15,29,77,16,1954-06-18,,,,
HIGHBRIDGE REHABS (ANDERSON AVENUE),NY005015310,370,531,808,482,NY005312,FEDERAL,TURNKEY,Rehabilitation,,135,135,640.5,4.74,,364,4,,4,5-6,36729,0.84,36729,0.84,27249,1778952,74.19,433.33,13271641,20721,432,ANDERSON AVE,W 166TH ST,NELSON AVE,W 167TH ST,BRONX,4,15,29,"77, 84","08, 16",1997-04-30,,,True,True
HIGHBRIDGE REHABS (NELSON AVENUE),NY005015310,371,531,809,482,NY005313,FEDERAL,TURNKEY,Rehabilitation,,80,80,380,4.75,,212,3,,3,5-6,37492,0.87,37492,0.87,18840,1042289,50.25,243.68,8428841,22181,543,W 166TH ST,NELSON AVE,W 168TH ST,,BRONX,4,15,29,77,16,1996-10-31,,,True,True
HOE AVENUE-EAST 173RD STREET,NY005015300,215,530,333,748,NY005164,FEDERAL,TURNKEY,New Construction,,65,65,270.5,4.16,,143,1,,1,6,22000,0.51,22000,0.51,9242,602580,42.01,280.39,1583566,5801,445.63,HOE AVE,E 173RD ST,E 174TH ST,VYSE AVE,BRONX,3,15,32,79,17,1970-12-31,,,,True
HOLMES TOWERS,NY005011390,159,139,277,253,NY005069,FEDERAL,CONVENTIONAL,New Construction,,535,537,2068.5,3.87,,944,2,,2,25,122341,2.81,122341,2.81,19872,3893920,16.24,335.94,10435545,4952,445.63,FIRST AVE,ISAACS HOUSES,FDR DRIVE,E 92ND ST,MANHATTAN,8,12,28,68,5,1969-04-30,,,,
HOPE GARDENS,NY005012470,247,247,546,546,NY005218,FEDERAL,CONVENTIONAL,New Construction,,324,324,1409,4.35,,702,4,1,4,7-14,202500,4.65,202500,4.65,41000,351600,20.25,150.97,20632339,14504,456.44,LINDEN ST,WILSON AVE,GROVE ST,,BROOKLYN,4,7,18,53,37,1981-08-31,,PARTIALLY,True,
HOWARD,NY005000720,72,72,568,568,NY005244A,FEDERAL,CONVENTIONAL,New Construction,,814,815,3704,4.55,,1924,10,,16,7-14,664735,15.26,621176,14.26,87500,6943700,13.16,126.08,11359000,3079,447.04,EAST NEW YORK AVE,MOTHER GASTON BLVD,PITKIN AVE,ROCKAWAY AVE,BROOKLYN,16,8,20,55,41,1955-12-30,1979/08/01-ATP 4,,,
HOWARD AVENUE,NY005013510,339,351,782,765,NY005261,FEDERAL,TURNKEY,New Construction,,148,150,669,4.52,,382,5,,25,3,132915,3.05,132915,3.05,50568,1536736,38.05,125.25,11464557,15641,536.72,EAST NEW YORK AVE,GRAFTON ST,SUTTER AVE,TAPSCOTT ST,BROOKLYN,16,9,20,55,41,1988-08-01,,,True,
HOWARD AVENUE-PARK PLACE,NY005013510,365,351,551,551,NY005225,FEDERAL,TURNKEY,New Construction,,156,156,781,5.01,,463,8,,159,3,197563,4.54,197563,4.54,54978,1657275,27.83,101.98,15843706,20286,609.85,HOWARD AVE,STERLING PL,EASTERN PKWY,SAINT JOHNS PL,BROOKLYN,16,9,"20, 25",55,41,1994-08-31,,,True,
HUGHES APARTMENTS,NY005011680,168,168,275,275,NY005081,FEDERAL,CONVENTIONAL,New Construction,,509,513,2421.5,4.76,,1418,3,1,4,22,241990,5.56,241990,5.56,23502,4599540,9.71,255.04,10288064,4201,501.53,ROCKAWAY AVE,MOTHER GASTON BLVD,SUTTER AVE,BELMONT AVE,BROOKLYN,16,9,20,55,41,1968-06-30,,,,
HUNTS POINT AVENUE REHAB,NY005015300,367,530,806,748,NY005299,FEDERAL,TURNKEY,Rehabilitation,,131,131,605.5,4.62,,328,13,,13,4-5,58206,1.34,58206,1.34,35180,1540888,60.44,244.78,13280604,21933,439.02,LAFAYETTE AVE,HUNTS POINT AVE,SENECA AVE,IRVINE ST,BRONX,2,15,"32, 34",85,17,1991-11-30,,,True,True
HYLAN,NY005010860,109,86,680,680,NY005364,FEDERAL,CONVENTIONAL,New Construction,,209,209,933.5,4.47,,460,1,,1,19,77658,1.78,77658,1.78,11403,1878400,14.68,258.43,3945608,4240,514.9,MOORE ST,HUMBOLDT ST,SEIGEL ST,BUSHWICK AVE,BROOKLYN,1,7,18,53,34,1960-06-30,1995/07/13-PTA,,,
INDEPENDENCE,NY005021400,140,234,442,442,NY005376,MIXED FINANCE/LLC2,CONVENTIONAL,New Construction,108,742,744,3341,4.5,289,1791,6,,6,21,232000,5.33,232000,5.33,44685,6457003,19.26,336.02,14543000,4344,426.34,CLYMER ST,WILSON ST,WYTHE AVE,BEDFORD AVE,BROOKLYN,1,7,18,50,33,1965-10-31,,,,
INGERSOLL,NY005000140,14,14,510,510,NY005213B,FEDERAL,CONVENTIONAL,New Construction,,1826,1840,8678,4.75,,4314,20,1,46,7-11,997521,22.9,925641,21.25,175748,10226288,17.62,188.38,12236672,1681,518.27,PARK AVE,SAINT EDWARDS ST,MYRTLE AVE,PRINCE ST,BROOKLYN,2,8,25,57,35,1944-02-24,1977/07/01-ATP 1,,,
INTERNATIONAL TOWER,NY005010910,316,91,296,296,NY005241,FEDERAL,TURNKEY,New Construction (ELD),,146,159,520,3.56,,171,1,,1,10,42500,0.98,42500,0.98,12689,1126314,29.86,174.49,10992764,19269,341.04,170TH ST,90TH AVE,169TH ST,JAMAICA AVE,QUEENS,12,5,14,29,27,1983-05-31,,EXCLUSIVELY,True,
